City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Katsuura,JP,35.1333,140.3,47.08,77,87,7.7,overcast clouds
142,Castro,BR,-24.7911,-50.0119,63.52,98,86,3.15,overcast clouds
143,Bitung,ID,1.4451,125.1824,77.85,74,100,7.9,overcast clouds
144,Hami,CN,42.8,93.45,14.14,54,5,3.11,clear sky
145,Yellowknife,CA,62.456,-114.3525,14.52,92,75,6.91,light snow
146,Acari,PE,-15.4311,-74.6158,72.99,77,44,4.9,scattered clouds
147,Ponta Do Sol,PT,32.6667,-17.1,61.72,68,45,9.44,scattered clouds
148,Cherskiy,RU,68.75,161.3,-27.0,96,100,5.84,overcast clouds
149,Klaksvik,FO,62.2266,-6.589,31.12,63,100,12.95,overcast clouds
150,Nyurba,RU,63.2842,118.3319,-47.52,100,94,1.99,overcast clouds
151,Yurga,RU,55.7231,84.8861,7.57,95,100,8.19,light snow
152,Saint George,US,37.1041,-113.5841,41.43,69,100,4.61,overcast clouds
153,Huautla,MX,21.0333,-98.2833,70.21,75,94,2.35,overcast clouds
154,Lagoa,PT,39.05,-27.9833,56.98,75,68,15.52,broken clouds
155,Kasungu,MW,-13.0333,33.4833,65.84,95,100,1.52,light rain
156,Yasothon,TH,15.75,104.1333,64.04,80,30,10.85,scattered clouds
157,Sabha,LY,27.0377,14.4283,49.19,34,0,10.31,clear sky
158,Avarua,CK,-21.2078,-159.775,84.25,74,40,19.57,scattered clouds
159,Kurchum,KZ,48.5722,83.6542,-19.17,98,48,1.23,scattered clouds
160,Dourbali,TD,11.8091,15.8632,71.55,20,41,9.26,scattered clouds
161,Northam,GB,51.0333,-4.2167,41.61,76,8,8.32,clear sky
162,Danjiangkou,CN,32.5428,111.5086,34.36,44,27,2.06,scattered clouds
163,Sao Filipe,CV,14.8961,-24.4956,73.76,70,21,13.85,few clouds
164,Mao,ES,39.8885,4.2658,54.16,58,20,24.16,few clouds
165,San Pedro De Macoris,DO,18.4616,-69.2972,77.61,83,1,9.57,clear sky
166,Ilulissat,GL,69.2167,-51.1,-35.3,77,1,6.76,clear sky
167,Atlantic City,US,39.3643,-74.4229,50.13,95,100,5.75,mist
168,Calama,CL,-22.4667,-68.9333,73.89,23,0,17.27,clear sky
169,Tasiilaq,GL,65.6145,-37.6368,10.56,95,100,1.77,light snow
170,Flinders,AU,-34.5833,150.8552,68.18,77,97,5.99,overcast clouds
171,Nokaneng,BW,-19.6667,22.2667,71.19,80,99,4.61,overcast clouds
172,Fortuna,US,40.5982,-124.1573,50.34,71,75,10.36,broken clouds
173,Hilo,US,19.7297,-155.09,84.27,65,20,13.8,few clouds
174,Talaja,IN,21.35,72.05,64.78,38,8,6.89,clear sky
175,Mizan Teferi,ET,6.9833,35.5833,64.72,58,58,2.68,broken clouds
176,Norton,ZW,-17.8833,30.7,62.33,97,94,6.4,overcast clouds
177,Mutoko,ZW,-17.397,32.2268,62.67,93,46,1.43,scattered clouds
178,San Cristobal,VE,7.7669,-72.225,73.58,78,86,1.7,overcast clouds
179,Torbay,CA,47.6666,-52.7314,36.57,94,100,11.5,overcast clouds
180,Tunceli,TR,39.1083,39.5471,40.48,55,19,4.59,few clouds
181,Dingle,PH,10.9995,122.6711,77.67,91,77,9.51,broken clouds
182,Byron Bay,AU,-28.65,153.6167,70.72,89,100,4.85,overcast clouds
183,Fort Nelson,CA,58.8053,-122.7002,21.94,92,75,0.0,broken clouds
184,Burgeo,CA,47.6167,-57.6152,35.01,95,100,12.95,light snow
185,Walvis Bay,NA,-22.9575,14.5053,65.17,87,23,6.6,few clouds
186,Bengkulu,ID,-3.8004,102.2655,73.02,91,100,4.97,overcast clouds
187,Putnam,US,36.1667,-85.65,56.35,68,2,12.57,clear sky
188,Tuatapere,NZ,-46.1333,167.6833,58.98,86,100,2.98,light rain
189,San Andres,CO,12.5847,-81.7006,82.42,74,20,9.22,few clouds
190,Pyaozerskiy,RU,65.8333,31.1667,28.62,86,100,11.56,overcast clouds
191,Cayenne,GF,4.9333,-52.3333,77.04,88,36,3.44,scattered clouds
192,Huarmey,PE,-10.0681,-78.1522,71.64,75,85,6.49,overcast clouds
193,Sheridan,US,44.8333,-106.9173,39.58,48,0,6.91,clear sky
194,Mahmudia,RO,45.0833,29.0833,48.4,84,21,14.03,few clouds
195,Isangel,VU,-19.55,169.2667,81.09,65,16,9.26,few clouds
196,San Pablo,PH,14.0669,121.3258,74.48,92,100,9.04,overcast clouds
197,Caravelas,BR,-17.7125,-39.2481,75.67,86,40,5.3,scattered clouds
198,Weston,US,26.1004,-80.3998,77.02,65,0,10.36,clear sky
199,Nemuro,JP,43.3236,145.575,32.16,98,100,22.86,snow
200,Norman Wells,CA,65.282,-126.8329,-5.76,77,20,0.0,few clouds
201,Gat,IL,31.61,34.7642,59.4,22,0,5.66,clear sky
202,Cabra,ES,37.4725,-4.4421,46.65,75,74,5.79,broken clouds
203,Sibiti,CG,-3.6819,13.3499,68.83,99,100,2.73,light rain
204,Touros,BR,-5.1989,-35.4608,79.36,78,60,12.12,broken clouds
205,Dromolaxia,CY,34.8761,33.586,51.46,93,20,5.75,few clouds
206,Wajima,JP,37.4,136.9,41.68,100,100,6.91,fog
207,Teguise,ES,29.0605,-13.564,59.22,72,20,23.02,few clouds
208,Eenhana,NA,-17.4667,16.3333,67.69,87,100,5.97,light rain
209,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,40,13.8,scattered clouds
210,Mahebourg,MU,-20.4081,57.7,78.26,94,75,11.5,heavy intensity rain
211,Metu,ET,8.3,35.5833,58.8,72,63,2.84,broken clouds
212,Codrington,AU,-38.2667,141.9667,64.11,59,93,12.82,overcast clouds
213,Saint-Junien,FR,45.8833,0.9,34.38,95,95,6.2,overcast clouds
214,Dzaoudzi,YT,-12.7887,45.2699,84.09,79,100,13.8,light rain
215,Tura,IN,25.5198,90.2201,51.93,66,0,3.89,clear sky
216,Lac Du Bonnet,CA,50.2536,-96.0612,15.66,98,100,2.86,overcast clouds
217,East London,ZA,-33.0153,27.9116,72.52,87,92,9.8,overcast clouds
218,Cidreira,BR,-30.1811,-50.2056,74.23,87,75,13.2,broken clouds
219,Vostok,RU,46.4856,135.8833,1.18,96,100,1.28,overcast clouds
220,Esperance,AU,-33.8667,121.9,65.35,62,0,11.63,clear sky
221,Wanning,CN,18.8003,110.3967,60.1,82,88,10.07,overcast clouds
222,Tynda,RU,55.1667,124.7167,-61.33,97,35,2.89,scattered clouds
223,Abha,SA,18.2164,42.5053,53.42,71,0,0.0,clear sky
224,Muros,ES,42.7762,-9.0603,56.08,93,100,12.44,overcast clouds
225,Arlit,NE,18.7369,7.3853,64.53,10,6,9.55,clear sky
226,Cap Malheureux,MU,-19.9842,57.6142,78.48,89,100,5.99,heavy intensity rain
227,Nanortalik,GL,60.1432,-45.2371,27.19,94,100,4.16,light snow
228,Tlacotalpan,MX,18.6167,-95.6667,74.62,87,43,7.49,scattered clouds
229,Villarrica,PY,-25.75,-56.4333,85.06,47,61,5.93,broken clouds
230,Labytnangi,RU,66.6572,66.4183,-5.94,100,56,1.59,broken clouds
231,Chapais,CA,49.7834,-74.8492,8.38,95,67,7.9,broken clouds
232,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.28,99,96,0.85,moderate rain
233,Paka,MY,4.6374,103.4368,78.73,89,40,8.05,scattered clouds
234,Klyuchi,RU,52.2667,79.1667,8.76,95,100,7.45,overcast clouds
235,Roma,US,43.2128,-75.4557,39.09,92,100,9.22,moderate rain
236,Guerrero Negro,MX,27.9769,-114.0611,61.48,42,0,14.56,clear sky
237,Sambava,MG,-14.2667,50.1667,74.01,88,100,9.46,overcast clouds
238,Rubtsovsk,RU,51.5,81.25,9.97,95,100,10.6,light snow
239,Ewa Beach,US,21.3156,-158.0072,84.02,67,0,10.36,clear sky
240,Kainantu,PG,-6.2887,145.8655,64.18,92,100,1.54,overcast clouds
241,Mgandu,TZ,-5.95,34.1333,60.08,94,99,1.7,overcast clouds
242,Angoche,MZ,-16.2325,39.9086,75.99,91,87,5.95,overcast clouds
243,Puerto Palomas,MX,31.7667,-107.6167,49.17,30,53,4.97,broken clouds
244,Umm Kaddadah,SD,13.6017,26.6876,63.95,19,30,10.98,scattered clouds
245,Jacareacanga,BR,-6.2222,-57.7528,69.91,99,100,0.72,overcast clouds
246,Sinjai,ID,-5.1241,120.253,79.11,78,100,2.86,overcast clouds
247,Pevek,RU,69.7008,170.3133,-18.89,92,100,15.37,overcast clouds
248,Thomasville,US,35.8826,-80.082,65.44,78,80,10.0,broken clouds
249,Togul,RU,53.465,85.9128,11.05,95,100,10.27,light snow
250,Rundu,NA,-17.9333,19.7667,67.95,91,100,4.7,moderate rain
251,Boende,CD,-0.2167,20.8667,73.49,65,86,2.75,overcast clouds
252,Tulle,FR,45.3333,1.8333,31.55,93,94,5.79,overcast clouds
253,Ahipara,NZ,-35.1667,173.1667,71.92,61,2,10.11,clear sky
254,Aripuana,BR,-9.1667,-60.6333,71.06,98,100,2.51,overcast clouds
255,Buchanan,LR,5.8808,-10.0467,78.82,89,49,6.11,scattered clouds
256,Omboue,GA,-1.5746,9.2618,75.4,92,100,8.32,overcast clouds
257,Faya,SA,18.3851,42.4509,53.71,81,10,3.18,clear sky
258,Grand Gaube,MU,-20.0064,57.6608,78.39,89,100,5.99,very heavy rain
259,Paamiut,GL,61.994,-49.6678,13.03,79,78,23.98,broken clouds
260,Vila Velha,BR,-20.3297,-40.2925,78.75,87,75,5.75,broken clouds
261,Kimbe,PG,-5.5502,150.1429,76.84,93,100,1.81,overcast clouds
262,Srednekolymsk,RU,67.45,153.6833,-33.2,100,100,2.91,overcast clouds
263,Rocha,UY,-34.4833,-54.3333,68.97,81,0,11.36,clear sky
264,Rio Gallegos,AR,-51.6226,-69.2181,69.85,43,75,2.3,broken clouds
265,Oyo,NG,7.85,3.9333,75.63,60,16,3.02,few clouds
266,Port Lavaca,US,28.615,-96.6261,71.92,28,0,9.22,clear sky
267,Olafsvik,IS,64.8945,-23.7142,30.96,84,100,20.67,light snow
268,Padang,ID,-0.9492,100.3543,73.45,84,100,3.49,overcast clouds
269,Bundaberg,AU,-24.85,152.35,84.22,68,21,4.0,few clouds
270,Newport,GB,51.5877,-2.9984,36.54,89,4,8.21,clear sky
271,Bogale,MM,16.2833,95.4,65.57,67,59,5.79,broken clouds
272,Asau,RO,46.4333,26.4,42.28,83,98,2.93,overcast clouds
273,Tyrma,RU,50.0833,132.1667,-18.67,96,100,3.76,overcast clouds
274,Raudeberg,NO,61.9875,5.1352,30.96,64,1,7.34,clear sky
275,Carballo,ES,43.213,-8.691,55.0,95,100,7.45,overcast clouds
276,Palmer,US,42.1584,-72.3287,37.51,87,100,4.61,light rain
277,Kumluca,TR,36.3703,30.2869,55.53,76,1,5.84,clear sky
278,Margate,GB,51.3813,1.3862,34.7,82,31,1.01,scattered clouds
279,Tukrah,LY,32.5341,20.5791,58.08,68,13,21.63,light rain
280,Cururupu,BR,-1.8283,-44.8683,71.73,98,98,2.35,overcast clouds
281,Tucdao,PH,11.7011,124.4719,78.73,86,92,13.89,overcast clouds
282,Hamilton,US,39.1834,-84.5333,47.43,68,40,26.46,scattered clouds
283,Qasigiannguit,GL,68.8193,-51.1922,-31.27,69,0,6.71,clear sky
284,Baykit,RU,61.67,96.37,-45.83,97,88,4.52,overcast clouds
285,Chissamba,AO,-12.1667,17.3333,61.74,90,100,4.25,overcast clouds
286,Geraldton,AU,-28.7667,114.6,76.08,76,0,8.55,clear sky
287,Tres Arroyos,AR,-38.3739,-60.2798,82.47,39,15,13.69,few clouds
288,Avera,US,33.194,-82.5271,66.54,51,87,13.24,overcast clouds
289,Carnarvon,AU,-24.8667,113.6333,76.57,78,0,8.52,clear sky
290,Comodoro Rivadavia,AR,-45.8667,-67.5,84.06,34,20,19.57,few clouds
291,Yulara,AU,-25.2406,130.9889,78.26,24,99,7.94,overcast clouds
292,Caborca,MX,30.5838,-111.101,58.12,26,1,7.7,clear sky
293,Blythe,US,33.6103,-114.5964,63.05,23,0,10.36,clear sky
294,Alofi,NU,-19.0595,-169.9187,85.89,70,75,11.5,broken clouds
295,Juneau,US,58.3019,-134.4197,39.22,97,100,25.32,light rain
296,Batemans Bay,AU,-35.7167,150.1833,65.1,56,48,7.7,scattered clouds
297,Eirunepe,BR,-6.6603,-69.8736,71.89,98,85,2.98,overcast clouds
298,Vallenar,CL,-28.5708,-70.7581,71.74,56,0,4.7,clear sky
299,Hamada,JP,34.8833,132.0833,39.92,65,93,18.84,overcast clouds
300,Khuzhir,RU,53.1939,107.3397,-6.74,87,97,4.85,overcast clouds
301,Piro,IN,25.3333,84.4167,47.01,59,1,2.15,clear sky
302,Ucluelet,CA,48.9329,-125.5528,45.09,89,99,2.17,overcast clouds
303,Itoman,JP,26.1247,127.6694,62.62,63,75,14.97,broken clouds
304,Birmingham,US,33.5207,-86.8025,64.51,34,20,16.11,few clouds
305,Truro,GB,50.2653,-5.0544,42.08,70,75,5.75,broken clouds
306,Thompson,CA,55.7435,-97.8558,3.36,85,20,4.61,few clouds
307,Vestmannaeyjar,IS,63.4427,-20.2734,39.88,67,100,33.24,overcast clouds
308,Buenavista,PH,8.9769,125.4089,78.3,85,87,5.08,overcast clouds
309,Podporozhye,RU,60.9112,34.1706,29.17,95,100,4.56,overcast clouds
310,Cairns,AU,-16.9167,145.7667,85.1,83,80,8.61,broken clouds
311,Tazovskiy,RU,67.4667,78.7,-27.22,87,18,8.75,few clouds
312,Behshahr,IR,36.6923,53.5526,41.58,83,6,2.08,clear sky
313,Libertador General San Martin,AR,-23.8064,-64.7876,95.97,34,56,4.7,broken clouds
314,Nacala,MZ,-14.5428,40.6728,74.08,93,100,4.99,overcast clouds
315,Okhotsk,RU,59.3833,143.3,-12.01,77,100,12.84,overcast clouds
316,Kloulklubed,PW,7.0419,134.2556,75.7,77,78,20.56,broken clouds
317,Lexington,US,37.9887,-84.4777,54.34,50,0,21.85,clear sky
318,Lithgow,AU,-33.4833,150.15,55.24,81,99,7.87,overcast clouds
319,Kerema,PG,-7.9631,145.7785,81.9,71,100,1.83,light rain
320,Bagdarin,RU,54.4333,113.6,-23.75,96,100,2.01,overcast clouds
321,Quesnel,CA,52.9999,-122.5029,30.7,80,40,13.8,scattered clouds
322,Sierra Vista,US,31.5545,-110.3037,57.25,18,0,10.36,clear sky
323,Murgab,TM,37.4966,61.9714,28.27,86,100,0.0,overcast clouds
324,Gladstone,AU,-23.85,151.25,80.78,70,14,11.1,few clouds
325,Borogontsy,RU,62.6683,131.1683,-65.97,100,82,1.83,broken clouds
326,Grindavik,IS,63.8424,-22.4338,36.07,80,100,27.63,overcast clouds
327,Nizhniy Tsasuchey,RU,50.5167,115.1333,-18.8,96,100,4.72,overcast clouds
328,Xacmaz,AZ,41.4635,48.806,39.92,88,70,3.98,broken clouds
329,Jalu,LY,29.0331,21.5482,56.93,26,0,10.98,clear sky
330,Matay,EG,28.419,30.7792,54.34,37,0,0.98,clear sky
331,Agadez,NE,19.75,10.25,59.67,16,92,6.93,overcast clouds
332,North Bend,US,43.4065,-124.2243,50.16,92,75,6.91,broken clouds
333,Kulhudhuffushi,MV,6.6221,73.07,79.27,63,3,10.83,clear sky
334,Portel,BR,-1.9356,-50.8211,72.9,90,86,3.67,overcast clouds
335,Coihaique,CL,-45.5752,-72.0662,85.95,23,0,5.75,clear sky
336,Ancud,CL,-41.8697,-73.8203,59.2,89,88,8.81,overcast clouds
337,Mosquera,CO,4.7059,-74.2302,53.69,87,75,3.44,broken clouds
338,Tilichiki,RU,60.4667,166.1,-22.99,91,15,9.55,few clouds
339,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,20.71,few clouds
340,Ust-Maya,RU,60.4167,134.5333,-60.21,100,98,2.13,overcast clouds
341,Svetlogorsk,BY,52.6333,29.7333,44.13,96,96,12.08,overcast clouds
342,Haines Junction,CA,60.7522,-137.5108,18.95,97,91,2.93,overcast clouds
343,Bandrele,YT,-12.9067,45.1914,83.95,79,100,13.8,light rain
344,Yarovoye,RU,52.9273,78.58,7.9,96,99,7.38,overcast clouds
345,Olecko,PL,54.0337,22.507,31.84,97,100,7.47,light snow
346,Tual,ID,-5.6667,132.75,81.93,76,100,16.53,overcast clouds
347,Sinnamary,GF,5.3833,-52.95,75.24,87,82,6.24,broken clouds
